"parameter","point_estimate","upper_ci"
"b0",1.00134522528185,1.00343026054762
"b1",1.00068276187535,1.00140700854525
"intercept[1]",1.00105228631668,1.00307264728699
"intercept[2]",1.00158579740357,1.00313237651432
"intercept[3]",1.00067029656475,1.00193862941412
"intercept[4]",1.00058740997446,1.00187774774465
"intercept[5]",1.0007172224761,1.0023141471718
"intercept[6]",1.0004040270636,1.00119719054077
"intercept[7]",1.00058892956957,1.00186212498737
"intercept[8]",1.00121862255543,1.00376269965124
"intercept[9]",1.0006398964345,1.00164709919499
"intercept[10]",1.00034383089399,1.00098793691367
"intercept[11]",1.00085547100792,1.00234413640149
"intercept[12]",1.00083621246301,1.00264395087784
"intercept[13]",1.00075282311783,1.00207527206334
"intercept[14]",1.00035902449491,1.00101281544462
"intercept[15]",1.00053893193195,1.00171562567915
"intercept[16]",1.00056178645122,1.00154850847981
"intercept[17]",1.00040144231147,1.00104140507775
"intercept[18]",1.00064731154746,1.00206042481313
"intercept[19]",1.00086891949215,1.00209526222614
"intercept[20]",1.00099555636697,1.00247383251452
"intercept[21]",1.00108873195358,1.00331850976911
"intercept[22]",1.00047624546141,1.00108784413437
"intercept[23]",1.00092999312357,1.00286694672506
"intercept[24]",1.00051366241726,1.0015957610997
"intercept[25]",1.00082455671285,1.00243578034566
"intercept[26]",1.0007602895035,1.00209334938634
"intercept[27]",1.00060715857392,1.00187962569212
"intercept[28]",1.00077227529413,1.00222896822077
"intercept[29]",1.00060814746633,1.00185850478052
"intercept[30]",1.00113610901251,1.00325787098062
"intercept[31]",1.00058222651078,1.00159049823499
"intercept[32]",1.00049135842736,1.00116814676041
"intercept[33]",1.00063642227996,1.00175963851687
"intercept[34]",1.00074558430935,1.00211950087183
"intercept[35]",1.00068878957862,1.00193080438585
"intercept[36]",1.00048805969457,1.00154034451563
"intercept[37]",1.00143966465077,1.00406608245635
"intercept[38]",1.00070320705892,1.0021640868391
"intercept[39]",1.00088172903448,1.0027985912691
"intercept[40]",1.00087433717018,1.00275610082806
"intercept[41]",1.00042883094844,1.00128031236661
"intercept[42]",1.00047205616335,1.00112542557722
"intercept[43]",1.00056219103602,1.00143910074955
"intercept[44]",1.00114948150551,1.00329558527496
"intercept[45]",1.0004231346713,1.00134322599176
"intercept[46]",1.00054878822122,1.0017636334398
"intercept[47]",1.00048375404848,1.00124464051289
"intercept[48]",1.0006275593389,1.0017962550294
"intercept[49]",1.00061395824473,1.00182596758455
"intercept[50]",1.00083821106929,1.00249340215312
"intercept[51]",1.00045538643789,1.00131375749645
"intercept0",1.00073851034257,1.00204543238428
"scaling[1]",1.00078929667655,1.00215934450242
"scaling[2]",1.00222146146581,1.00462376209696
"scaling[3]",1.00072267556023,1.00193857625198
"scaling[4]",1.00077174494492,1.00180250889625
"scaling[5]",1.00054085650243,1.00139810375519
"scaling[6]",1.00051201859401,1.00122334808873
"scaling[7]",1.00053541591877,1.00134030447436
"scaling[8]",1.00104330793316,1.00312408809937
"scaling[9]",1.00066920285975,1.00143455240053
"scaling[10]",1.00065670885505,1.00153239973401
"scaling[11]",1.00077455200749,1.00190656649389
"scaling[12]",1.00074994095458,1.00154618606487
"scaling[13]",1.00075407123984,1.00179866433249
"scaling[14]",1.00074207956812,1.00174661956738
"scaling[15]",1.00051486916692,1.00146921675214
"scaling[16]",1.00070269189825,1.00139591700592
"scaling[17]",1.00058628373371,1.00138884009404
"scaling[18]",1.00086230679986,1.00211393953984
"scaling[19]",1.00084558650715,1.00183509750521
"scaling[20]",1.0010891950116,1.00274530873492
"scaling[21]",1.00089959085105,1.00252388389683
"scaling[22]",1.00078774435436,1.0016719249839
"scaling[23]",1.00062396908856,1.00165781260364
"scaling[24]",1.00054873962157,1.00136745684418
"scaling[25]",1.00082878856901,1.00234789773745
"scaling[26]",1.00078300098615,1.00194698077734
"scaling[27]",1.00065537174566,1.00191082084055
"scaling[28]",1.00064570238553,1.00166668070849
"scaling[29]",1.00054959201125,1.00134961504573
"scaling[30]",1.0007768082173,1.00206765074024
"scaling[31]",1.00083597461131,1.00200995359483
"scaling[32]",1.00043632474272,1.00093913830905
"scaling[33]",1.00093261924491,1.00233058088416
"scaling[34]",1.00065151374147,1.00164716504479
"scaling[35]",1.00083805118842,1.00200622868198
"scaling[36]",1.00057012133568,1.00148945654579
"scaling[37]",1.0015113294449,1.00410531409902
"scaling[38]",1.00079288486403,1.00203904135993
"scaling[39]",1.0008639834733,1.00248270647243
"scaling[40]",1.00078051623029,1.00216665028933
"scaling[41]",1.00051935276076,1.00134953872818
"scaling[42]",1.00092538832122,1.00209617704034
"scaling[43]",1.00065166931983,1.00123752193588
"scaling[44]",1.00064682183887,1.00184885169541
"scaling[45]",1.00066537263649,1.00149336071689
"scaling[46]",1.00090677000697,1.00205269710404
"scaling[47]",1.00044240646683,1.00105230011283
"scaling[48]",1.00065117041331,1.00170005979398
"scaling[49]",1.0007731002013,1.00209653754766
"scaling[50]",1.00066863185511,1.00157568017106
"scaling[51]",1.00070593026944,1.00171094591732
"scaling0",1.00066719189793,1.0016684735994
"sd0",1.00479138537339,1.01171424111855
"sd1",1.00281053938145,1.00792220939237
"sigma_pop",1.00513211026685,1.01409747902499
"size",1.00162248264117,1.00449330310878
